1;1332.67
2;1285.48
3;1434.07
4;1722.77
5;1916.83
6;2026.78
7;2323.24
8;2341.54
9;2467.59
10;2367.7
11;2415.84
12;2534.36
13;2610.8
14;2549.03
15;2777.3
16;2971.25
17;2796.96
18;2913.68
19;3069.28
20;3081.88
21;3501.3
22;3635.32
23;3531.21
24;3703.51
25;3409.17
26;3470.35
27;3678.67
28;3819.62
29;3836.97
30;3888.57
31;4130.8
32;3841.73
33;3549.03
34;3790.85
35;3715.08
36;3821.99
37;3941.69
38;3985.21
39;4121.55
40;4180.73
41;3832.82
42;3955.58
43;4142.34
44;4060.33
45;4262.56
46;4350.29
47;4276.14
48;4316.69
49;4453.7
50;4795.79
51;4940.99
52;5034.07
53;5068.63
54;4818.9
55;4610.38
56;4195.09
57;4316.18
58;4510.63
59;4265.44
60;4274.18
61;4418.76
62;4620.22
63;4768.28
64;4840.15
65;4893.91
66;4878.58
67;5088.8
68;5136.86
69;5137.58
70;5089.55
71;5149.89
72;5226.95
73;5289.4
74;5450.29
75;5518.68
76;5086.43
77;5216.38
78;4910.66
79;4802.53
80;4509.61
81;4223.91
82;4455.18
83;4446.46
84;4593.01
85;4615.16
86;4770.96
87;4845.37
88;4838.58
89;4796.87
90;5016.65
91;5215.99
92;"5386,00"
93;5364.8
94;5422.54
95;5148.91
96;5296.71
97;5294.1
98;5386.69
99;5568.11
100;5685.3
101;5738.15
102;5829.71
103;5840.94
104;5864.06
105;5900.85
106;6005.78
107;5952.14
108;6355.65
109;6605.63
110;6597.22
111;6188.99
112;5994.6
113;5983.59
114;5799.24
115;5936.44
116;6018.46
117;5976.55
118;5831.65
119;6056.12
120;6194.5
121;6532.97
122;6443.35
123;6468.76
124;6455.35
125;6209.12
126;6358.63
127;6390.51
128;6328.47
129;6169.1
130;6228.32
131;6011.83
132;6299.54
133;5940.05
134;5452.7
135;4538.93
136;4716.4
137;4753.61
138;4905.39
139;5149.63
140;6073.87
141;4870.04
142;5128.23
143;5612.42
144;5979.07
145;5862.35
146;6241.8
147;5985.52
148;5995.62
149;5947.46
150;5985.49
151;6070.04
152;6150.30
153;6286.94
154;6591.35
155;6533.93
156;6581.48
157;6631.15
158;6888.17
159;7071.44
160;7228.91
161;7148.97
162;6911.58
163;6951.12
164;7178.59
165;7040.80
166;7098.89
167;7081.31
168;6850.62
169;6839.34
170;6843.24
171;6805.28
172;6915.72
173;6633.26
174;6661.88
175;6931.36
176;6953.26
177;6939.89
178;6752.21
179;7080.74
180;7272.8
181;7207.94
182;7316.11
183;7288.81
184;7234.2
185;6970.74
186;7063.58
187;7255.76
188;7670.73
189;7527.93
190;7574.02
191;7114.27
192;7079.9
